word,freq
,
"('any', 'caffeine')",1
,
"('caffeine', 'in')",2
,
"('in', 'it')",21
,
"('it', '')",287
,
"('', 'Also')",67
,
"('Also', 'get')",1
,
"('get', 'it')",17
,
"('it', 'in')",7
,
"('in', 'large')",1
,
"('large', 'because')",1
,
"('because', 'you')",12
,
"('you', 'will')",14
,
"('will', 'regret')",1
,
"('regret', 'not')",1
,
"('not', 'having')",2
,
"('having', 'the')",2
,
"('the', 'most')",32
,
"('most', 'you')",1
,
"('you', 'can')",134
,
"('can', '')",10
,
"('', 'The')",1206
,
"('The', 'price')",2
,
"('price', 'range')",1
,
"('range', 'here')",1
,
"('here', 'is')",29
,
"('is', 'actually')",4
,
"('actually', 'very')",1
,
"('very', 'reasonable')",5
,
"('reasonable', '')",8
,
"('', 'They')",485
,
"('They', 'also')",80
,
"('also', 'sell')",7
,
"('sell', 'baked')",1
,
"('baked', 'good')",1
,
"('good', '')",223
,
"('', 'sandwhiches')",1
,
"('sandwhiches', '')",1
,
"('', 'pizzas')",2
,
"('pizzas', '')",2
,
"('', 'and')",960
,
"('and', 'other')",13
,
"('other', 'retail')",1
,
"('retail', 'drinks')",1
,
"('drinks', '')",83
,
"('', '')",9435
,
"('', 'One')",28
,
"('One', 'thing')",4
,
"('thing', 'customers')",1
,
"('customers', 'may')",3
,
"('may', 'not')",6
,
"('not', 'like')",9
,
"('like', 'about')",3
,
"('about', 'this')",35
,
"('this', 'place')",363
,
"('place', 'is')",169
,
"('is', 'how')",2
,
"('how', 'packed')",1
,
"('packed', 'it')",1
,
"('it', 'is')",111
,
"('is', '')",48
,
"('', 'they')",149
,
"('they', 'have')",107
,
"('have', 'a')",223
,
"('a', 'bunch')",10
,
"('bunch', 'of')",11
,
"('of', 'tables')",33
